id,car_model,car_year,car_vin,color,price
334,Crown Victoria,1998,1N6AA0CA3CN953649,Turquoise,"€26702,67"
335,Stratus,1998,WBA3A9C56DF759516,Goldenrod,"€24290,21"
336,240SX,1993,4JGCB2FB5AA396591,Purple,"€19357,91"
337,Landaulet,2011,WAUSH98E77A221263,Teal,"€35969,11"
338,R8,2012,SCBBB7ZH6EC941837,Violet,"€37791,33"
339,4Runner,1999,SCFFDCCD4CG698298,Green,"€12214,97"
340,RAV4,1997,1GYEC63N25R315404,Yellow,"€14828,99"
341,Aerostar,1987,WBAEU33494P405018,Red,"€21250,46"
342,Savana 3500,2006,1C4RJEAG4DC866480,Maroon,"€31409,74"
343,Grand Caravan,2004,WBA3T1C59FP109474,Orange,"€30546,57"
344,Montero Sport,2001,WUADU98E38N392726,Indigo,"€31265,65"
345,FX,2010,WAUMF98K39N310814,Green,"€23948,62"
346,Cherokee,1998,1GKS1GEJ6DR011574,Pink,"€17499,99"
347,Fury,1964,5UXFG83568L455486,Indigo,"€15215,57"
348,Eurovan,1992,1FTSW3A57AE154757,Goldenrod,"€30882,70"
349,Sky,2007,WBASP2C54DC382395,Purple,"€16908,84"
350,Suburban 1500,2005,WAUAC48H86K106414,Teal,"€32894,89"
351,S5,2010,NM0KS9BN0CT464678,Crimson,"€12945,56"
352,MKT,2012,1B3BD4FB9BN436236,Fuscia,"€15753,35"
353,C-Class,1997,SALVP1BG9EH154466,Teal,"€10032,72"
354,Venza,2012,WBADN53493G377398,Red,"€10679,10"
355,Cougar,1984,3D7LP2ET9BG023353,Khaki,"€21250,06"
356,Ciera,1993,WAUAF98E66A851551,Teal,"€22351,57"
357,Dakota Club,1996,1G6KE54Y63U166806,Orange,"€20576,49"
358,Flex,2010,3C6TD5ET8CG192759,Mauv,"€39753,44"
359,CR-V,2006,5J6TF2H59FL765782,Blue,"€28654,81"
360,Capri,1985,5BZBF0AA6FN409839,Aquamarine,"€24106,55"
361,Impreza,2011,1GYS4EEJ1CR587685,Pink,"€11936,90"
362,Classic,1963,3D73Y3CL8BG600668,Blue,"€24906,73"
363,Terrain,2012,JHMZF1D49ES292587,Crimson,"€23084,95"
364,Miata MX-5,2011,WAUDF98E77A650532,Puce,"€32540,30"
365,Mazda3,2004,JTHBK1EG9C2459971,Blue,"€21692,39"
366,Highlander,2009,3LN6L2G92ER220339,Pink,"€26884,59"
367,B-Series,1996,WAUSH78EX7A065577,Green,"€26152,57"
368,Explorer Sport,2002,ZFBCFACH6FZ235643,Pink,"€23019,40"
369,Continental Flying Spur,2007,WDDHF5GB9AA176701,Fuscia,"€25874,76"
370,RX Hybrid,2008,WBABN53481J185221,Aquamarine,"€13778,72"
371,Express 1500,1997,WBADW3C57BE130031,Yellow,"€17009,27"
372,S-Class,1995,5TFAW5F1XFX728344,Indigo,"€15322,59"
373,X6,2009,WAUDGBFL0CA082544,Orange,"€37461,35"
374,Maxima,2005,1FTSW2B55AE433391,Fuscia,"€25385,46"
375,Leone,1989,2HKRM3H36EH580134,Maroon,"€20796,71"
376,911,2011,1FAHP3DN4AW510457,Maroon,"€16749,73"
377,MX-6,1996,3FA6P0LU9ER785426,Yellow,"€16282,67"
378,Trans Sport,1992,WAUR4AFD6DN133606,Khaki,"€34709,49"
379,Silhouette,2004,WAU4FBFL3AA324498,Khaki,"€21390,12"
380,Grand Prix,1992,WBAPH5C55BA778638,Yellow,"€18218,77"
381,LS,2006,2G61T5S39F9469606,Goldenrod,"€28819,42"
382,Accord,1986,WBAGK93421D957507,Maroon,"€30921,55"
383,GT-R,2009,3MZBM1K74FM847734,Blue,"€37389,01"
384,Express 3500,2002,1GD11ZCG7CF589298,Purple,"€21547,61"
385,Venture,1997,5N1AN0NUXDN795743,Indigo,"€32840,28"
386,XC90,2007,WBA3G7C58EK945831,Pink,"€16268,38"
387,Optima,2011,WAULT68E13A370991,Red,"€13748,34"
388,Dakota,2007,3C4PDCBB6DT682426,Puce,"€15941,12"
389,V12 Vantage,2012,WVGAV7AX4CW907938,Green,"€24455,44"
390,Patriot,2010,WAUDF78E58A697094,Aquamarine,"€20155,01"
391,Dakota Club,2004,1GYUKCEF1AR638386,Turquoise,"€21655,34"
392,Mountaineer,2003,3C6TD4DT3CG704696,Purple,"€21631,90"
393,Traverse,2010,WAUVKAFR0AA262590,Indigo,"€38842,16"
394,i-350,2006,WBANU53598C596151,Blue,"€34607,21"
395,1500 Club Coupe,1992,WAUVVAFR9CA116523,Blue,"€34156,72"
396,Avalanche,2012,3D4PH9FG7BT995739,Green,"€37522,43"
397,Suburban 1500,2005,2C4RDGBG1FR146436,Turquoise,"€26834,35"
398,Elantra,2012,2D4RN3D14AR058118,Maroon,"€34704,53"
399,GTI,2007,5N1AA0NC8CN569671,Goldenrod,"€39164,88"
400,S40,2010,SAJWA0E7XD8553955,Green,"€39695,57"
401,Sunbird,1993,1G6DF8E58C0696844,Pink,"€37431,37"
402,NSX,2000,KMHGH4JF7BU243958,Red,"€23286,16"
403,240SX,1995,1LNHL9DR4BG864661,Teal,"€22568,99"
404,Suburban 1500,1992,1GD021EG4FZ678594,Aquamarine,"€30567,55"
405,Avalanche,2007,1G4GL5G35DF506425,Crimson,"€21201,92"
406,Grand Prix,1989,2C3CCAPT8CH475751,Mauv,"€31604,37"
407,Celica,1984,1HGCR2E71DA300670,Blue,"€12462,60"
408,Elantra,1993,1FADP3E29FL986098,Green,"€31924,78"
409,Grand Prix,1962,1GYFC26269R779381,Crimson,"€14278,97"
410,SLK-Class,2007,1FMEU7EE6AU221192,Turquoise,"€34862,32"
411,SC,2010,5GAKRAKDXFJ736498,Khaki,"€19134,40"
412,Passat,1987,5UXWY3C54F0671304,Red,"€28642,21"
413,Maxima,2001,WAUKF78EX6A786468,Puce,"€20711,89"
414,GX,2005,JH4CL96966C163501,Purple,"€32349,88"
415,E-Series,1963,1G6KE54Y13U159844,Mauv,"€29034,99"
416,Ram Van B150,1993,1FTFW1E84AF450484,Khaki,"€21604,15"
417,RX-7,1984,ZHWGU5AU8CL624673,Puce,"€25275,05"
418,V70,2000,WBA3A5C59EF218356,Khaki,"€38417,08"
419,Cabriolet,1997,1G6DC1E3XE0987427,Teal,"€29878,12"
420,Murciélago,2002,19UUA86219A063252,Fuscia,"€37641,31"
421,Cobalt SS,2009,WBSBR93414P937821,Mauv,"€17083,31"
422,Jimmy,1995,1C3ADEAZ3DV778194,Crimson,"€30371,73"
423,B-Series,1987,JTDZN3EU6E3758890,Violet,"€31442,91"
424,FX,2004,1FMJK1HT4FE717900,Blue,"€21627,57"
425,T100 Xtra,1995,WBA1M1C5XFV927473,Turquoise,"€23911,99"
426,Camaro,1992,WVWAA7AH8BV043912,Fuscia,"€19096,31"
427,LR3,2009,3VWF17AT8FM173941,Blue,"€33302,71"
428,Bronco II,1989,1FMJK1G52BE183423,Purple,"€37135,46"
429,Bonneville,1988,WAURFAFR8EA666586,Fuscia,"€35944,26"
430,Escalade ESV,2005,5UXZV4C56DL925764,Aquamarine,"€37615,23"
431,Baja,2004,2G4GS5GX2E9806357,Khaki,"€26163,85"
432,G-Series 2500,1998,WAUEG78E76A743300,Turquoise,"€18928,13"
433,SLX,1998,2C3CDXHG4CH546302,Red,"€14336,71"
434,CL-Class,1998,WAUDF78E56A273203,Fuscia,"€13384,99"
435,LS,1999,1GKLRKED7AJ211173,Orange,"€20326,92"
436,Veyron,2011,1G6DA1E36C0794338,Orange,"€12780,24"
437,Optima,2012,1G6DV57V290232648,Aquamarine,"€13059,11"
438,Silverado 1500,1999,WBAGN83483D190489,Teal,"€36374,84"
439,S-Class,2011,SCFBB04B37G058279,Turquoise,"€29960,30"
440,B-Series,2002,WP0CA2A88CS691314,Khaki,"€32763,13"
441,Montero,2004,WDDHF7GB7FB707701,Purple,"€36615,33"
442,Acclaim,1993,WA1LFBFP6BA927992,Orange,"€14074,57"
443,Camry,1997,1C4NJPBA3FD118868,Orange,"€20612,15"
444,Express 3500,2008,ZFF75VFA2F0798279,Red,"€36982,71"
445,Malibu Maxx,2006,1C3BC5ED9AN402553,Pink,"€38450,74"
446,Crown Victoria,2000,1GYEE637960746193,Maroon,"€21328,77"
447,Familia,1991,4T1BK1EB2FU635611,Indigo,"€26470,68"
448,Maxima,2001,WA1WMAFE8BD929169,Blue,"€36327,89"
449,Escape,2001,WVWGU7AN3BE085072,Purple,"€34836,16"
450,Town & Country,2008,WAULC68E94A201450,Purple,"€25217,03"
451,62,2006,WBANA73525C822742,Orange,"€35797,53"
452,Familia,1986,SCFAD02EX9G108150,Fuscia,"€10734,77"
453,Sierra 2500,2004,WBAKF3C58CE318520,Aquamarine,"€13976,17"
454,1 Series,2008,1C3CC4FB6AN174409,Purple,"€31867,84"
455,Samurai,1994,19XFB2E59CE298323,Green,"€12792,47"
456,Range Rover,1991,WAUKG78E25A819720,Puce,"€12137,07"
457,Liberty,2006,5BZAF0AA2EN988807,Puce,"€24523,11"
458,Tracker,1993,3VW1K7AJXBM891152,Goldenrod,"€19751,01"
459,Avalon,2010,SCBDR3ZA3AC757143,Red,"€23386,64"
460,Jetta,1993,JH4KC1F96EC489603,Mauv,"€29834,06"
461,Clubman,2011,1GYS3JEF6CR740990,Teal,"€39975,02"
462,Reno,2008,WBAUU33509A674894,Teal,"€13168,07"
463,GTI,1997,3VWC17AU4FM634225,Yellow,"€32140,61"
464,Escort,1992,2G4GU5GV6D9230392,Mauv,"€31148,44"
465,Colt Vista,1992,3N1CE2CP9FL565980,Purple,"€21427,34"
466,Venza,2012,3D7LP2ET1BG791683,Maroon,"€20234,98"
467,Accord,1985,5N1AT2MK5FC107521,Puce,"€34470,12"
468,Continental GT,2007,2HNYD28317H806429,Puce,"€13426,19"
469,Yukon XL 2500,2009,2G4WC552571742428,Violet,"€27429,08"
470,626,1987,2G4WD532151323456,Indigo,"€16329,37"
471,Cougar,2000,3MZBM1K72EM887325,Red,"€12820,55"
472,RL,1996,YV1902FH9D2343894,Khaki,"€17117,34"
473,Windstar,2002,WBA3V7C54FP293770,Violet,"€22714,61"
474,Tucson,2005,SCBCR63W75C874246,Crimson,"€10271,36"
475,Galant,2004,JH4CU2E82CC511772,Turquoise,"€30091,04"
476,H2,2006,3VW517AT0EM653532,Violet,"€35204,42"
477,Elan,1993,5FNYF3H23EB516371,Blue,"€21228,62"
478,SC,2010,WBAEK73434B121524,Aquamarine,"€36683,28"
479,Villager,1999,1N6AD0CW5EN823099,Orange,"€17152,17"
480,3500 Club Coupe,1998,4JGBF2FB4AA793757,Teal,"€31889,62"
481,Scoupe,1994,WDDEJ7KB6DA334467,Fuscia,"€34642,65"
482,Lumina,1992,WBAVB33516A429043,Puce,"€36558,99"
483,LX,2010,WAUNE78P98A699228,Red,"€21025,81"
484,Impala,2010,SCFFDCBD7BG747882,Purple,"€24797,97"
485,Boxster,2010,SALAC2D45AA735064,Maroon,"€31930,75"
486,Elise,2008,1G6DN57S840347396,Mauv,"€24170,77"
487,Explorer,1996,WAUCFAFH5FN788622,Goldenrod,"€20429,69"
488,ZX2,2001,YV1902FH7D2077131,Goldenrod,"€16633,62"
489,Continental Mark VII,1989,5FRYD3H62GB971884,Puce,"€25447,13"
490,Rio,2003,5GADV23L05D650811,Khaki,"€35765,29"
491,Lucerne,2009,SCBZK25E13C022239,Puce,"€38621,15"
492,Grand Am,1993,JM1NC2EF5A0596567,Fuscia,"€30083,86"
493,900,1989,JH4CU2F68AC632350,Teal,"€23433,16"
494,Cougar,1987,2HNYD18714H097672,Green,"€25555,90"
495,Silhouette,2001,WBAXH5C59CC191283,Khaki,"€12911,46"
496,Prelude,1994,JTHBE1KS2A0268983,Red,"€12571,03"
497,Tribeca,2009,1G6DN57S750885511,Orange,"€10446,94"
498,MDX,2002,WBA3G7C50EF618722,Teal,"€26475,12"
499,Magnum,2005,2FMHK6DT1AB070930,Turquoise,"€39503,55"
500,3 Series,1998,JN1AV7AP1FM325593,Goldenrod,"€11603,34"
501,Regal,2003,WA1YD64B12N048774,Orange,"€18609,19"
502,Xterra,2001,1GYS3NKJ9FR157043,Fuscia,"€22556,26"
503,S10,1998,WBA3A5G59DN507509,Teal,"€10643,45"
504,Grand Prix,1997,3C3CFFFH5ET693027,Blue,"€15872,26"
505,Element,2005,WAUVT58E95A253195,Purple,"€18876,13"
506,F-Series,2003,WP0AB2A81CS877071,Green,"€28975,45"
507,LTD,1984,WAUDG78E45A119920,Purple,"€24625,44"
508,Maxima,1990,1G6DL8ED5B0889385,Blue,"€16741,36"
509,Taurus,2012,1FBSS3BL9AD355319,Purple,"€29664,51"
510,Grand Marquis,1993,WBSKG9C51BE332625,Fuscia,"€13734,05"
511,Yukon,2001,WBANA73524B769111,Orange,"€20084,07"
512,3500,1996,1FMJK1F55AE086586,Maroon,"€28309,82"
513,LaCrosse,2010,WA1YD64B03N026735,Yellow,"€23534,43"
514,Mustang,1987,19UUA9F79DA619821,Purple,"€37573,06"
515,Cube,2010,5NPET4AC8AH679341,Maroon,"€36009,00"
516,Mazdaspeed 3,2011,JN8AS5MT3AW144421,Fuscia,"€20403,39"
517,Horizon,1978,3N1BC1AP3BL387301,Purple,"€13415,24"
518,Silverado 1500,2007,3G5DB03E82S337716,Maroon,"€30339,55"
519,Escalade EXT,2005,2G4WC582691319016,Goldenrod,"€31007,93"
520,Riviera,1991,WBAUC7C57AV063963,Aquamarine,"€15434,62"
521,Grand Prix,2000,WAULT58E23A341185,Pink,"€33592,96"
522,Venza,2009,WAUJC68EX5A483736,Mauv,"€15191,68"
523,Lancer,2011,WDDEJ9EB2DA142857,Orange,"€13066,63"
524,6000,1987,WBAYA8C51ED403925,Violet,"€15067,98"
525,Discovery,1998,KMHDB8AE6BU193993,Pink,"€15323,88"
526,Quest,1996,1FMEU8DE6AU048247,Mauv,"€26310,61"
527,SVX,1992,WA1WKBFP0AA890610,Purple,"€28103,31"
528,Mazda3,2009,1C4RDHDG4CC700513,Aquamarine,"€16074,51"
529,Tacoma Xtra,1998,KMHHT6KD8CU214370,Teal,"€33929,48"
530,Xterra,2002,1FMJK1J54AE587492,Orange,"€35336,12"
531,Excursion,2004,3GYFNDE37CS590923,Blue,"€23243,25"
532,Impreza WRX,2011,5J8TB3H55DL531693,Aquamarine,"€33901,42"
533,Sonoma,2004,WBAVD13556K811200,Puce,"€18751,88"
534,Minx Magnificent,1950,WBAKE3C50DE434105,Purple,"€32888,39"
535,Previa,1993,WBAEP33434P114876,Blue,"€15546,95"
536,Pilot,2012,1FTDS3EL0AD122073,Violet,"€12388,69"
537,Accord,2005,3GYVKNEF3AG014136,Khaki,"€26492,39"
538,Dakota,2003,2G61P5S36D9203106,Pink,"€34942,63"
539,Milan,2010,WAUVT58E44A536912,Indigo,"€32426,83"
540,SC,2005,JH4KB26569C078391,Maroon,"€13973,25"
541,Ridgeline,2007,WAUEF78E06A162126,Indigo,"€20247,49"
542,5 Series,1999,1N4AL2AP5AN152692,Pink,"€23392,36"
543,Highlander,2002,WAULFAFR0EA006192,Pink,"€19733,47"
544,Villager,1994,2B3CJ7DJXBH257608,Indigo,"€10771,40"
545,Corvette,2008,WP1AA2A28DL987301,Blue,"€17959,15"
546,E-Class,1988,KMHHT6KDXAU058927,Puce,"€27714,77"
547,Montero,2006,2C4RRGAGXDR436982,Indigo,"€38702,75"
548,Quattroporte,1986,JH4KA96683C520700,Maroon,"€11364,38"
549,Sable,1997,WAUMFAFL2AN762285,Fuscia,"€37831,17"
550,3 Series,2009,5BZBF0AA4FN481462,Aquamarine,"€27897,60"
551,Concorde,2000,WAUBFAFL1BN708291,Red,"€19208,74"
552,Probe,1994,JTJBC1BA3C2272883,Crimson,"€34586,33"
553,Corvette,2007,2G4WF551911894122,Fuscia,"€26559,56"
554,Sierra 2500HD,2006,1FTSW3A56AE401170,Violet,"€15811,73"
555,Skyhawk,1989,WA1DGBFE7ED584810,Pink,"€21525,10"
556,R-Class,2010,1G6DV8EP4E0290261,Crimson,"€23058,13"
557,MX-5,2009,WAUSF78K69N574590,Maroon,"€25488,57"
558,VUE,2005,1FTEX1CM3BK687873,Indigo,"€18157,51"
559,MX-6,1996,19UUA56963A424820,Purple,"€31691,70"
560,DeVille,1992,WBS3R9C57FK945709,Pink,"€35747,11"
561,Allroad,2005,1FTEW1CM8EK541850,Yellow,"€26578,80"
562,Tempo,1987,JTDJTUD39ED398526,Turquoise,"€23684,21"
563,LS,2005,WAUSF98K19N456197,Crimson,"€12684,12"
564,Eclipse,2004,WBAET37485N834242,Violet,"€13840,28"
565,Prelude,1986,SCBZB25E02C074248,Turquoise,"€18905,87"
566,Avalanche 1500,2002,WAUEFAFLXDA674438,Mauv,"€11038,13"
567,V70,2006,YV440MBM5F1924636,Violet,"€36079,65"
568,Familia,1989,5UXFA53533L697628,Indigo,"€25689,00"
569,Elantra,2005,WBA3C3G59FN698527,Puce,"€26438,78"
570,Suburban 2500,2009,1GYS4JEF7CR044121,Yellow,"€16923,61"
571,CTS,2011,TRUWC28N521143008,Turquoise,"€10188,01"
572,300SL,1993,WAU2GAFC2FN226089,Khaki,"€36052,90"
573,Probe,1992,WA1AY74L27D677638,Indigo,"€20219,60"
574,C70,1998,1G6AH5SX0E0123392,Green,"€29481,34"
575,RX,2013,1D7CE5GK6AS224842,Mauv,"€25009,94"
576,SL65 AMG,2006,WP0AB2A99FS406167,Maroon,"€35372,57"
577,Viper,2003,3VW507AT4FM518333,Pink,"€10314,50"
578,Flex,2011,JH4KB2F60CC973441,Indigo,"€23767,21"
579,Sequoia,2002,WBAPK5C51BA376293,Pink,"€11762,45"
580,IS-F,2011,2G61W5S81F9589841,Khaki,"€33376,86"
581,G-Series G10,1995,WAUNF98P88A119153,Khaki,"€26267,52"
582,Savana 3500,2009,WBA3A9G5XDN579651,Red,"€33985,72"
583,Continental Flying Spur,2010,WAUBH78E28A267217,Red,"€30405,03"
584,A6,2002,JN1CV6EKXBM917831,Red,"€25062,09"
585,Avalon,2012,1G4HP52K854768900,Puce,"€10657,04"
586,Range Rover,1988,1FBNE3BL7DD929019,Mauv,"€24073,08"
587,Grand Prix,1995,WBALY1C50ED741443,Indigo,"€20261,49"
588,S10,1995,WBAKA83539C055059,Blue,"€16375,87"
589,MX-3,1992,2C3CDXJG6FH445888,Khaki,"€32572,45"
590,Accord,2005,3D7JB1EP7BG966005,Green,"€19601,13"
591,Sonata,2006,19XFA1E64AE634513,Blue,"€14779,17"
592,Venture,1999,TRUTC28N151506251,Green,"€23705,26"
593,LR3,2006,1FTFW1E89AK113381,Yellow,"€33840,53"
594,XC70,2003,WBA3D3C5XFK649955,Mauv,"€17439,09"
595,626,1999,3VWKP7AJXDM751580,Purple,"€35457,05"
596,Endeavor,2010,WA1CGAFE6DD872659,Puce,"€33514,82"
597,Express 1500,2006,JH4CL95948C885439,Violet,"€15151,09"
598,CR-V,2012,WAUVT64B74N144744,Indigo,"€21347,10"
599,TundraMax,2009,5FRYD3H89EB157374,Puce,"€23410,53"
600,Tempo,1986,5FPYK1F29BB403966,Khaki,"€12067,37"
601,CL-Class,2005,1N6BF0KLXFN433753,Teal,"€28058,50"
602,GX,2010,WAUNF78P17A172103,Indigo,"€34423,16"
603,Tiburon,1997,WA1DGAFE8BD162860,Green,"€28530,04"
604,Monte Carlo,1995,3C4PDDDG4ET169627,Crimson,"€22472,86"
605,Phantom,2013,SCFFDCCD9AG179132,Indigo,"€24343,36"
606,Ram 1500,2003,WAUJGAFD4FN321256,Teal,"€12674,69"
607,LeSabre,2001,WBAKF9C56BE414146,Turquoise,"€12566,39"
608,Q7,2009,SCBLF34F16C122047,Red,"€35353,65"
609,GX,2010,TRUUT28N461422530,Green,"€36823,91"
610,Dakota Club,2005,WBAFR9C51BD069199,Indigo,"€23963,81"
611,57,2007,5N1AA0NC9CN248805,Green,"€25941,49"
612,H1,2000,3MZBM1U71EM956924,Blue,"€13885,77"
613,New Beetle,2004,1G6AC5S32F0489027,Red,"€13074,15"
614,Grand Marquis,2009,1G6KD54Y75U434154,Green,"€34495,52"
615,Suburban,2010,1D4SE6GT4BC796348,Maroon,"€16625,13"
616,Ram 1500,2004,WBASN4C50BC931458,Red,"€23739,76"
617,CX-9,2012,WAULFAFH0DN902331,Mauv,"€12985,16"
618,HHR,2011,TRUUT28N841844846,Yellow,"€36878,91"
619,Premier,1992,1FAHP3ENXBW267382,Maroon,"€10524,02"
620,X6 M,2013,WBAYE4C50ED979180,Maroon,"€38603,89"
621,Firefly,1991,1G6DH8E56D0071192,Red,"€39429,44"
622,Accent,2010,WAUBNBFB2BN528270,Goldenrod,"€14050,39"
623,RDX,2008,WBALL5C51EJ335792,Goldenrod,"€38279,60"
624,550,2006,1GYS4KEF1ER335383,Red,"€34565,17"
625,Suburban 1500,1992,SCFEBBBK7BG099275,Crimson,"€11168,15"
626,2500,1999,WA1YL64B04N656291,Khaki,"€36411,38"
627,Concorde,2003,5XYKT3A67FG747764,Crimson,"€19561,91"
628,Envoy,1999,JTHBW1GG1D2705978,Violet,"€23180,43"
629,MPV,1998,1G6DX67D660143698,Yellow,"€18585,55"
630,Z3,1997,SALFP2BN6BH869919,Khaki,"€12336,87"
631,62,2008,1GD21ZCG6DZ480044,Maroon,"€21403,58"
632,A8,2004,1GTN1UEH9EZ436261,Indigo,"€23449,04"
633,Grand Marquis,2010,KNAFT4A22C5662725,Khaki,"€34045,13"
634,Galant,2006,4T1BD1FK1EU835984,Puce,"€24592,13"
635,LS,1991,WBABN334X2P993931,Purple,"€10276,91"
636,Mazda3,2007,3VW517AT7EM552438,Turquoise,"€12812,30"
637,944,1985,1N6AF0LX7EN289784,Turquoise,"€18470,93"
638,LR3,2007,WAUBFAFL8AN369608,Fuscia,"€29515,73"
639,E-Class,2008,5N1AT2MKXFC568889,Crimson,"€13406,67"
640,Suburban 2500,1999,1FTSW3A50AE982052,Turquoise,"€21570,21"
641,CLK-Class,2009,WBAPH5C54BA309282,Crimson,"€30208,29"
642,Trans Sport,1998,1ZVBP8JZXD5409841,Fuscia,"€33062,25"
643,Mustang,1971,5TFBM5F18AX147847,Mauv,"€13767,84"
644,Spider,1993,1G6DM8EV9A0696113,Red,"€17287,95"
645,CLK-Class,2001,1FTMF1EW6AF112719,Crimson,"€33187,76"
646,Corvette,1975,WBANV935X8C489162,Blue,"€31414,23"
647,Sonoma Club,1992,2FMGK5BC3BB796329,Goldenrod,"€24182,72"
648,Corvette,1967,2T1BU4EE9BC722021,Purple,"€36529,31"
649,SC,2007,JH4DC548X6S957320,Goldenrod,"€31461,25"
650,Grand Marquis,1992,WAUGGAFC3CN231190,Mauv,"€28987,36"
651,Truck,1990,2C3CCASG6FH904528,Puce,"€33697,67"
652,Pathfinder,2004,3D73Y3CL4AG206311,Fuscia,"€24080,00"
653,Cooper Clubman,2012,3MZBM1K7XFM396731,Mauv,"€10135,53"
654,Passport,1995,WAUML54D81N439354,Teal,"€19932,63"
655,Elantra,2010,WBAEB53528C658012,Fuscia,"€19032,71"
656,Intrigue,2001,1G6AB5S34F0749687,Aquamarine,"€12717,89"
657,Ram Van 1500,2003,SCFAB01AX7G770652,Indigo,"€31043,09"
658,Range Rover,1996,WA1LGAFE4ED774697,Fuscia,"€29324,15"
659,1500,1997,WBABS53423J185419,Aquamarine,"€23159,10"
660,Swift,1987,19UUA66256A693551,Puce,"€29226,79"
661,Skylark,1985,3D73M4HL6AG295616,Fuscia,"€19073,77"
662,Montero,1996,SAJWA6BU2F8906821,Goldenrod,"€11896,59"
663,Express 2500,1999,1FTMF1CW2AF719932,Turquoise,"€18266,23"
664,Mini Cooper,1964,JN1BJ0HP5FM804726,Fuscia,"€27600,52"
665,Canyon,2012,5UXFG43559L592624,Yellow,"€29066,87"
